"fips","cases11.08","deaths11.08","population2019","rate_cases","rate_deaths","rate_fatality"
"02164",50,0,1592,3140.70351758794,0,0
"02170",1919,3,108317,1771.65172595253,2.76964834698154,0.156331422615946
"02180",149,0,10004,1489.40423830468,0,0
"02185",300,0,9832,3051.26118795769,0,0
"02188",273,0,7621,3582.20705944102,0,0
"02195",16,1,3266,489.895897121862,30.6184935701163,6.25
"02198",39,1,6203,628.72803482186,16.121231662099,2.56410256410256
"02220",82,0,8493,965.501000824208,0,0
"02230",7,0,1183,591.715976331361,0,0
"02240",90,1,6893,1305.67242129697,14.5074713477441,1.11111111111111
"02261",147,1,9202,1597.47880895458,10.8672027820039,0.680272108843537
"02275",13,0,2502,519.584332533973,0,0
"02282",0,0,579,0,0,0
"02290",125,2,5230,2390.05736137667,38.2409177820268,1.6
