"variable","season","estimate","lower","upper"
"poverty","spring",1.3220140261291,1.28196598060378,1.3633131547367
"poverty","summer",1.32123234353403,1.28303735946828,1.36056436137125
"poverty","fall",1.17170080961997,1.13914444909803,1.20518761984148
"noHighSchool","spring",1.45293467151236,1.40987301284628,1.49731155958575
"noHighSchool","summer",1.48755627705418,1.44677985998575,1.52948194718795
"noHighSchool","fall",1.17848874124622,1.14579456274518,1.21211581761798
"percentedu","spring",0.955785279797824,0.924396801178296,0.988239574080921
"percentedu","summer",1.0231511316856,0.991044747726555,1.05629765020294
"percentedu","fall",1.06152051354573,1.03139583462742,1.09252506442925
"smoking","spring",0.987072047526203,0.949357042204497,1.02628535281639
"smoking","summer",1.15154736054708,1.10973270124872,1.19493759361222
"smoking","fall",1.38784387136422,1.34204275931691,1.43520807955746
"obesity","spring",0.859823369877172,0.83274029398508,0.887787264200982
"obesity","summer",1.10924590188905,1.07685775602599,1.14260817083065
"obesity","fall",1.32523463472997,1.28938673112243,1.36207919214357
"asthma","spring",1.22237382297919,1.18317356026612,1.26287284747023
"asthma","summer",1.05604577332133,1.02201233605084,1.09121253825488
"asthma","fall",0.828228820493775,0.804375048285282,0.852789977211257
"cancer","spring",1.12188344923021,1.08432867782933,1.16073889715456
"cancer","summer",0.944040784530108,0.913856951019505,0.975221561604339
"cancer","fall",0.781003994272778,0.757860830039389,0.804853892552187
"COPD","spring",0.880884413593731,0.846858697384858,0.916277240239211
"COPD","summer",1.13449029066617,1.09524261533608,1.17514439412209
"COPD","fall",1.30645594944475,1.2654300402375,1.3488119402628
"diabetes","spring",1.6187005399517,1.57126832225857,1.66756460428962
"diabetes","summer",1.48500228427552,1.44145313735078,1.52986713696186
"diabetes","fall",1.10715264201266,1.0754997947141,1.1397370587518
"HF","spring",1.53043085254788,1.48079839483955,1.58172685937049
"HF","summer",1.34486459738287,1.30239263889981,1.38872159690771
"HF","fall",1.12088185097858,1.08703338036995,1.15578430850539
"HTN","spring",1.60637945266135,1.52363305127688,1.69361969653391
"HTN","summer",1.70352470640356,1.61860287050834,1.79290206276228
"HTN","fall",1.22322748725368,1.16617371742944,1.28307255017817
"KD","spring",1.35028227084713,1.3015619857402,1.40082626178361
"KD","summer",1.42698275060958,1.37870950925165,1.47694619995952
"KD","fall",1.02105482283052,0.988625440982895,1.05454796933908
"stroke","spring",1.57043237564263,1.50826444177017,1.63516275937133
"stroke","summer",1.30645608239408,1.25625528410105,1.35866293803959
"stroke","fall",0.851917718933756,0.821048252469019,0.883947804103851
"ICU","spring",1.35432671130135,1.3159626657472,1.39380917763567
"ICU","summer",1.06754530968391,1.04076403457804,1.09501572918032
"ICU","fall",0.810206632570254,0.792866295816483,0.827926210162387
"nursing","spring",1.1456893740609,1.12144049291439,1.17046258818859
"nursing","summer",1.0402799719676,1.01772093976001,1.06333905277816
"nursing","fall",0.896677285348803,0.878033955192861,0.915716470081037
